aX	aY	aZ	gX	gY	gZ	
-0.7070	0.4204	0.1974	-90.2100	22.8882	102.4780
-0.7395	0.4017	0.2017	-107.4829	21.6064	107.3608
-0.7506	0.3864	0.1818	-126.0376	22.5830	113.8306
-0.7753	0.3967	0.1495	-145.9351	28.9917	120.9106
-0.8203	0.4260	0.1486	-167.6636	40.7104	126.8311
-0.8063	0.4651	0.1890	-188.6597	57.9834	130.7373
-0.7268	0.5092	0.2277	-204.6509	80.1392	132.1411
-0.6411	0.5582	0.2567	-215.5151	102.5391	130.1270
-0.5928	0.5863	0.2277	-223.4497	122.1924	122.8638
-0.5687	0.5854	0.1881	-231.0181	138.8550	114.8682
-0.5181	0.5436	0.1312	-241.8823	152.9541	105.5298
-0.4673	0.5110	0.0720	-260.5591	165.0391	93.3228
-0.3717	0.6064	0.0854	-279.4189	164.2456	79.7729
-0.3717	0.7228	0.2014	-283.9966	170.8374	75.0732
-0.4285	0.7560	0.3228	-284.0576	175.0488	51.8799
-0.4423	0.8062	0.4131	-285.4614	168.8232	39.9170
-0.3864	0.8336	0.4769	-277.7100	184.9976	41.1377
-0.3282	0.8229	0.5319	-257.0190	210.0830	35.7666
-0.2777	0.7744	0.5687	-238.2202	224.9756	31.1279
-0.2772	0.7455	0.6230	-225.8301	220.3979	26.1230
-0.2582	0.7281	0.6733	-216.3696	203.7354	21.8506
-0.2108	0.7297	0.6665	-205.5664	182.1289	17.7002
-0.1825	0.7460	0.6654	-196.8994	159.4238	15.6250
-0.2142	0.7247	0.5951	-187.3779	137.8784	10.9253
-0.2527	0.7150	0.5638	-185.9741	111.0229	-2.6855
-0.2881	0.7827	0.6270	-182.9834	91.3696	-12.0850
-0.3776	0.8854	0.6998	-172.4854	86.6089	-17.5171
-0.4906	0.9441	0.7480	-156.2500	87.5854	-21.0571
-0.5436	0.9307	0.7654	-137.2681	90.6982	-20.5688
-0.5341	0.8826	0.7828	-119.2627	95.7031	-16.9678
-0.5034	0.8567	0.7866	-102.6611	100.2197	-13.7329
-0.4575	0.8502	0.7816	-87.6465	101.7456	-10.6201
-0.4113	0.8483	0.7675	-73.7915	97.8394	-8.2397
-0.3943	0.8470	0.7415	-62.0117	90.9424	-8.8501
-0.3910	0.8401	0.7135	-52.4902	81.4209	-11.9629
-0.3800	0.8291	0.6616	-45.3491	69.5190	-16.1743
-0.3831	0.8217	0.6205	-43.0298	57.4341	-21.3623
-0.4001	0.8344	0.6400	-42.0532	45.9595	-24.2310
-0.4198	0.8663	0.6853	-38.5742	35.9497	-24.2310
-0.4351	0.8840	0.7084	-31.6162	29.7241	-23.3154
-0.4321	0.8743	0.7076	-22.5220	24.9634	-21.7285
-0.4110	0.8521	0.6908	-14.5264	19.8975	-19.7144
-0.4023	0.8395	0.6761	-8.6060	12.2070	-18.3716
-0.4033	0.8325	0.6615	-4.6387	3.8452	-18.4326
-0.4252	0.8375	0.6547	-2.1973	-2.5024	-20.3247
-0.4551	0.8379	0.6470	0.1221	-5.7983	-22.9492
-0.4579	0.8187	0.6364	3.6011	-5.9814	-25.5737
-0.4363	0.7996	0.6262	5.9204	-3.2349	-28.9917
-0.4136	0.7847	0.6091	8.5449	-1.8311	-31.8604
-0.3983	0.7684	0.5925	7.5684	2.2583	-36.2549
-0.3771	0.7522	0.5780	8.4229	2.1973	-38.5132
-0.3536	0.7391	0.5670	5.1270	2.1973	-44.1895
-0.3369	0.7366	0.5573	0.0610	3.7231	-49.4995
-0.3276	0.7407	0.5482	-2.0142	1.4648	-52.4902
-0.3171	0.7448	0.5386	-4.5776	-1.9531	-59.1431
-0.3057	0.7529	0.5328	-10.0098	-1.7090	-66.2231
-0.2976	0.7642	0.5345	-13.4888	-3.8452	-70.8618
-0.2860	0.7734	0.5383	-18.3716	-6.1646	-77.9419
-0.2688	0.7776	0.5453	-23.8647	-6.4087	-84.3506
-0.2531	0.7858	0.5538	-30.2734	-5.8594	-90.9424
-0.2423	0.8048	0.5586	-35.7056	-6.5918	-95.8862
-0.2394	0.8422	0.5699	-41.8091	-5.9814	-100.5859
-0.2446	0.8837	0.5824	-46.2036	-8.8501	-106.1401
-0.2548	0.9248	0.5967	-50.7202	-10.7422	-112.3047
-0.2749	0.9655	0.6171	-54.4434	-8.9111	-118.5303
-0.2971	0.9979	0.6390	-53.9551	-5.4932	-122.6196
-0.3087	1.0223	0.6525	-48.6450	-3.8452	-126.8311
-0.3231	1.0305	0.6729	-41.6260	-2.1973	-131.8970
-0.3386	1.0508	0.6776	-34.1187	4.2114	-136.4746
-0.3446	1.0758	0.6628	-24.5361	13.2446	-137.0239
-0.3448	1.1012	0.6470	-11.1694	15.7471	-135.0098
-0.3458	1.1158	0.6537	1.2207	15.6860	-134.5825
-0.3422	1.1320	0.6411	13.3667	19.5923	-132.8735
-0.3282	1.1498	0.6185	27.0996	22.4609	-128.1128
-0.3032	1.1567	0.5992	39.9780	22.0337	-124.7559
-0.2911	1.1685	0.6036	51.0864	18.9209	-123.2910
-0.2855	1.1781	0.6064	63.1714	15.3809	-121.2769
-0.2643	1.1678	0.5952	74.8901	14.0991	-117.9810
-0.2291	1.1472	0.5989	86.6699	10.5591	-109.5581
-0.2070	1.1299	0.5814	98.5718	9.4604	-103.8818
-0.2068	1.1239	0.5608	108.1543	8.1787	-104.1260
-0.1956	1.1011	0.5364	117.2485	6.3477	-94.5435
-0.1940	1.0702	0.5341	126.3428	-1.4648	-81.1768
-0.2135	1.0587	0.5347	133.5449	-6.8970	-69.3359
-0.1981	1.0287	0.5365	140.3809	-6.5918	-60.5469
-0.2782	1.0516	0.5961	150.6348	-6.5308	-54.3823
-0.3743	1.0854	0.6482	167.6025	-3.7231	-42.8467
-0.3297	1.0593	0.6301	191.7114	7.8735	-25.2686
-0.2693	1.0215	0.6262	218.4448	20.5688	-6.1035
-0.2067	1.0042	0.6481	242.0044	31.6772	7.3242
-0.1191	0.9777	0.6746	266.3574	39.2456	17.3340
-0.0292	0.9299	0.6830	291.0767	40.5884	22.3389
0.0232	0.8755	0.6906	311.3403	35.0952	21.0571
0.0491	0.8157	0.6555	330.0781	23.3154	20.2637
0.0844	0.7463	0.6014	343.5669	8.0566	18.7988
0.1299	0.6699	0.5461	349.0601	-10.4370	14.9536
0.1637	0.5784	0.5227	343.8110	-28.6255	7.1411
0.1354	0.4994	0.5515	331.2988	-44.6777	-0.3052
0.0227	0.4543	0.5757	317.9321	-59.6924	-3.0518
-0.0480	0.4003	0.5630	305.9692	-70.8008	-1.4648
-0.0599	0.3317	0.5653	291.9312	-76.7212	3.0518
-0.0487	0.2664	0.5746	276.4282	-77.7588	5.5542
-0.0635	0.2051	0.5853	261.3525	-76.6602	6.9580
-0.1138	0.1500	0.6077	245.7275	-74.2798	6.4697
-0.1536	0.0920	0.5869	230.9570	-70.8618	6.1035
-0.1700	0.0336	0.5541	215.7593	-63.7207	5.1880
-0.1643	-0.0149	0.5574	200.8057	-55.6030	3.9062
-0.1591	-0.0536	0.5486	187.6221	-46.8750	2.8076
-0.1638	-0.0865	0.5371	174.2554	-37.7197	1.1597
-0.1759	-0.1072	0.5337	161.9873	-30.3955	-1.3428
-0.1896	-0.1075	0.5310	152.4048	-24.2920	-3.4180
-0.1914	-0.1049	0.5280	147.7051	-22.2778	-6.1035
-0.2233	-0.1028	0.5476	145.4468	-23.0103	-7.9956
-0.2424	-0.1204	0.5569	144.7144	-21.1182	-10.6201
-0.2357	-0.1525	0.5468	145.5688	-18.1274	-11.1694
-0.2001	-0.1924	0.5052	143.3716	-15.6860	-10.9863
-0.1527	-0.2268	0.4561	136.5967	-16.8457	-11.3525
-0.1321	-0.2382	0.4298	126.6479	-22.1558	-12.4512
-0.1284	-0.2357	0.4331	116.2720	-29.5410	-15.0146
-0.1285	-0.2222	0.4349	107.7271	-36.8652	-16.8457
-0.1749	-0.1982	0.4736	102.7222	-44.5557	-18.6768
-0.2313	-0.1892	0.4841	101.5015	-49.9878	-21.9116
-0.2607	-0.2224	0.4661	101.9287	-50.6592	-24.9634
-0.2506	-0.2897	0.4188	98.8770	-47.8516	-27.1606
-0.2101	-0.3508	0.3535	91.5527	-44.9829	-28.5034
-0.1696	-0.3826	0.3324	76.7822	-40.1001	-30.7617
-0.1439	-0.3910	0.3258	62.3779	-42.7246	-33.2031
-0.1323	-0.3965	0.3190	48.0347	-47.3633	-33.8135
-0.1284	-0.3884	0.3054	29.5410	-49.9268	-38.0859
-0.1492	-0.3700	0.3313	13.9771	-56.7017	-42.7246
-0.2075	-0.3475	0.3722	-0.5493	-60.5469	-48.4619
-0.2689	-0.3370	0.4321	-12.6343	-55.7861	-55.9082
-0.2897	-0.3231	0.4750	-21.9727	-47.7295	-62.5610
-0.2760	-0.3134	0.4984	-26.0620	-40.1611	-64.9414
-0.2375	-0.3147	0.4969	-28.8696	-32.2266	-65.4907
-0.1992	-0.3199	0.5085	-32.6538	-27.2217	-65.2466
-0.1969	-0.3038	0.5399	-39.1846	-25.2075	-66.8335
-0.2253	-0.2620	0.5813	-45.0439	-25.8179	-71.5942
-0.2601	-0.2028	0.5894	-49.4385	-28.4424	-77.6978
-0.2899	-0.1561	0.5874	-53.1616	-31.1279	-84.7168
-0.3085	-0.1315	0.6022	-57.0068	-32.2876	-90.8203
-0.3164	-0.1190	0.6135	-59.6313	-30.7617	-93.6890
-0.3245	-0.1172	0.6261	-57.6172	-31.9824	-94.2383
-0.3204	-0.1276	0.6261	-58.6548	-29.6631	-93.6890
-0.3022	-0.1478	0.6300	-62.0728	-25.0244	-89.7217
-0.3099	-0.1531	0.6412	-64.8804	-26.7334	-86.4258
-0.3628	-0.1488	0.6716	-70.3735	-27.9541	-87.5854
-0.4196	-0.1469	0.6915	-74.5239	-27.0386	-90.2710
-0.4419	-0.1537	0.6799	-75.6226	-21.9727	-89.9658
-0.4222	-0.1615	0.6552	-75.3174	-13.1226	-86.1206
-0.3778	-0.1730	0.6210	-77.8809	-2.3193	-82.2144
-0.3864	-0.1577	0.5186	-85.8765	6.3477	-80.8105
-0.2943	-0.1276	0.4969	-95.0317	10.9253	-82.6416
-0.2706	-0.0554	0.5071	-110.7788	-4.5776	-61.5845
-0.2731	-0.0807	0.4741	-116.3330	-19.3481	-49.8657
-0.2722	-0.1327	0.4370	-123.7183	-20.5078	-70.1904
-0.2861	-0.1382	0.4009	-133.3008	-7.8125	-80.0781
-0.2917	-0.1465	0.3451	-149.7192	6.4087	-71.1670
-0.2485	-0.1653	0.2917	-173.2788	21.3013	-63.1104
-0.1681	-0.1885	0.2325	-205.0781	35.7056	-65.1855
-0.1271	-0.1737	0.1980	-241.7603	49.3164	-78.9795
-0.1172	-0.0941	0.1903	-280.2124	61.5234	-102.9663
-0.1185	0.1057	0.2140	-317.6270	71.1670	-136.1084
-0.1108	0.3391	0.1836	-349.1211	78.8574	-161.8652
-0.0916	0.5701	0.2031	-381.3477	89.0503	-187.3779
-0.0690	0.8359	0.3606	-417.1143	97.2900	-218.6279
-0.0991	1.1174	0.4680	-436.1572	112.6709	-242.7979
-0.1462	1.3936	0.6487	-438.5986	129.7607	-248.5962
-0.1693	1.6000	0.8887	-431.2744	142.0288	-226.1963
-0.3601	1.6962	0.9521	-409.4238	155.8228	-189.5142
-0.2704	1.6743	1.4219	-372.4976	181.9458	-151.3062
-0.3943	1.6295	1.4008	-324.2798	185.2417	-117.0044
-0.4674	1.4381	1.3455	-268.1885	188.9648	-76.1719
-0.3176	1.4261	1.2007	-225.5859	209.4116	-54.4434
-0.0352	1.4316	1.0544	-199.5850	191.8335	-20.5688
0.0934	1.4635	1.0317	-179.2603	164.5508	-7.6904
0.1469	1.4037	1.0242	-167.8467	130.4321	-3.4180
0.1730	1.4608	0.9635	-168.7622	79.8950	-19.4092
0.0684	1.5225	0.8690	-164.0625	41.1377	-18.3716
-0.0796	1.5924	0.9862	-173.9502	-4.0283	-33.8135
0.0101	1.7838	1.2983	-184.8755	-44.8608	-54.1382
-0.0934	2.0848	1.5085	-171.7529	-94.8486	-55.2979
-0.2748	2.0692	1.4844	-136.7798	-146.6064	-28.9307
-0.5094	2.0227	1.3436	-92.7734	-149.1089	-17.7002
-0.5406	1.8883	1.2179	-42.7246	-105.2856	-9.2773
-0.4755	1.8182	1.0826	-6.1035	-56.4575	7.9956
