aX	aY	aZ	gX	gY	gZ	
-0.9313	-0.2423	-0.1204	239.9292	57.3120	25.8179
-0.9248	-0.2456	-0.1088	235.4736	56.8237	27.4658
-0.9225	-0.2628	-0.1565	231.7505	56.0303	28.0762
-0.8857	-0.3038	-0.2095	225.1587	55.4810	28.0151
-0.7957	-0.3285	-0.2284	213.4399	51.6968	28.4424
-0.7314	-0.3335	-0.2451	199.0967	39.9170	27.5879
-0.7302	-0.3481	-0.2598	185.8521	21.5454	23.8037
-0.7820	-0.3593	-0.2563	174.7437	1.0986	19.5313
-0.8782	-0.3447	-0.2494	166.3818	-15.9302	15.1367
-0.9569	-0.3363	-0.2474	161.3159	-24.3530	12.2681
-1.0117	-0.3206	-0.2314	156.9824	-22.4609	11.8408
-1.0266	-0.3064	-0.2141	154.8462	-13.3057	14.0991
-1.0199	-0.2947	-0.2137	153.2593	-0.4272	17.4561
-0.9861	-0.2975	-0.2374	153.1982	12.6953	21.7896
-0.9313	-0.3159	-0.2603	152.4048	22.8271	26.1841
-0.8708	-0.3322	-0.2786	149.2310	28.3813	29.0527
-0.8192	-0.3373	-0.2959	144.8975	27.9541	29.6631
-0.8269	-0.3058	-0.3131	141.3574	23.1934	27.7100
-0.8380	-0.2681	-0.3085	141.2964	13.6719	24.2310
-0.8622	-0.2572	-0.3263	143.7988	2.8076	20.5078
-0.9310	-0.2374	-0.3419	148.3154	-1.7700	17.6392
-0.9845	-0.2260	-0.3523	155.3955	3.3569	17.1509
-0.9708	-0.2565	-0.3993	161.2549	17.4561	19.0430
-0.8551	-0.3326	-0.4919	160.5835	37.0483	20.7520
-0.6433	-0.4702	-0.6747	148.0103	50.2930	21.4844
-0.5035	-0.7389	-1.0220	116.0278	45.7764	18.6157
-0.5632	-1.0992	-1.4333	48.8281	32.0435	10.1929
-0.8260	-1.3649	-1.5640	-67.0776	26.5503	3.2349
-0.9943	-1.2094	-1.3254	-213.5620	38.7573	-3.5400
