aX	aY	aZ	gX	gY	gZ	
-0.0529	-0.3077	0.8324	27.8320	3.4180	-3.4180
-0.0712	-0.2911	0.8380	25.0244	1.7700	-5.0659
-0.0848	-0.2836	0.8461	24.7192	0.1831	-4.4556
-0.0858	-0.2877	0.8544	23.6816	0.6104	-4.5776
-0.0714	-0.2964	0.8502	26.0620	-0.6714	-2.4414
-0.0754	-0.3013	0.8580	27.8320	-3.4790	-2.3193
-0.0581	-0.3208	0.8593	28.1372	-2.9907	-2.0752
-0.0386	-0.3275	0.8551	28.9307	-3.3569	-2.3804
-0.0427	-0.3308	0.8462	28.6865	-3.8452	-3.6621
-0.0533	-0.3702	0.8120	29.0527	-3.9062	-4.7607
-0.0433	-0.3831	0.7770	27.1606	-3.3569	-5.9204
-0.0476	-0.3761	0.7362	24.3530	-2.9907	-7.3242
-0.0820	-0.3790	0.6735	21.6064	-2.1973	-9.8877
-0.0823	-0.3687	0.6010	19.3481	-4.2114	-11.8408
-0.0830	-0.3250	0.5236	15.9302	-8.0566	-10.9253
-0.0699	-0.2944	0.4070	13.1836	-11.7798	-11.2305
-0.0355	-0.2694	0.2485	13.4277	-16.4185	-9.7046
0.0021	-0.2788	0.0304	13.4888	-19.3481	-8.3008
0.0000	-0.3048	-0.2201	12.0239	-18.7378	-7.0801
-0.0140	-0.3077	-0.4817	3.7842	-11.9019	-10.6201
-0.0796	-0.2960	-0.7311	-9.5825	-2.1973	-12.9395
-0.1821	-0.3068	-0.9713	-31.1279	13.1226	-15.5029
-0.2679	-0.2605	-1.1448	-59.7534	29.1748	-13.5498
-0.3156	-0.0991	-1.2181	-96.0693	49.9878	-8.5449
-0.3221	0.0797	-1.2103	-126.9531	65.7349	1.8311
-0.2638	0.2249	-1.1616	-153.3203	77.0264	17.4561
-0.1893	0.3912	-1.0530	-177.2461	78.6133	33.8745
0.0697	1.1637	1.4633	-197.9370	78.4912	46.4478
3.9995	3.9449	3.9995	26.3672	-23.5596	44.0674
-1.4301	-3.0153	0.3068	299.0723	-357.9102	-89.9048
-3.4832	-3.9995	-0.5463	219.0552	-4.5166	31.3721
1.6726	-0.2072	1.0222	-82.5806	101.5015	-51.3916
0.8218	0.4331	1.0957	-125.9766	0.8545	-44.5557
-1.3586	-0.4648	1.2225	-104.4312	-65.6128	-20.5078
-0.9155	0.0172	1.6256	-99.4263	-38.8794	-35.7056
-0.5933	0.1882	1.6256	-78.1860	-4.1504	-16.9067
-0.5410	0.1072	1.6487	-56.7017	19.8975	15.8081
-0.3444	0.2690	1.6255	-49.3774	17.7002	19.5313
-0.1642	0.0862	1.5487	-29.1138	17.3340	19.0430
0.0038	-0.1375	1.3835	-7.8735	14.1602	16.9678
0.1602	-0.3954	1.2770	7.5684	9.2773	13.1836
0.1879	-0.5012	1.1638	16.3574	-0.0610	8.8501
0.1304	-0.5212	1.1021	17.6392	-6.6528	4.2725
0.1033	-0.5078	1.0728	15.3198	-7.6294	3.1738
0.0406	-0.4670	1.0388	12.3291	-6.7139	1.5259
-0.0505	-0.3975	1.0010	8.8501	-5.3101	-1.2207
-0.1112	-0.3535	0.9690	6.5918	-2.5635	-2.8076
-0.1390	-0.3075	0.9495	5.3711	1.2207	-2.3193
-0.1077	-0.2920	0.9406	5.1880	2.8687	0.1831
-0.0687	-0.2812	0.9492	4.3335	2.8076	3.2349
-0.0490	-0.2798	0.9916	1.9531	2.3804	5.0049
-0.0479	-0.2692	1.0359	-0.8545	1.6479	5.7373
-0.0327	-0.2618	1.0728	-2.8076	0.9766	6.8359
-0.0131	-0.2931	1.0903	-4.3335	0.0000	7.9956
0.0168	-0.2432	1.1267	-6.8970	-4.5166	9.0942
-0.0688	-0.1639	1.1436	-8.7280	-11.5356	7.8735
-0.1997	-0.1025	1.2062	-10.0708	-14.8926	5.4932
-0.2643	-0.0524	1.2737	-5.1270	-10.1318	6.8970
-0.2273	-0.0597	1.3038	6.9580	-4.3945	10.1929
-0.1425	-0.1498	1.2556	21.7896	3.4790	11.4136
-0.0752	-0.2228	1.1870	30.2124	6.2866	10.7422
-0.0404	-0.2474	1.1334	31.6162	1.5259	9.3384
-0.0519	-0.2496	1.0933	28.8086	-3.3569	7.0801
-0.0822	-0.2592	1.0580	25.6958	-7.2021	5.3101
-0.0991	-0.2556	1.0358	21.7285	-6.9580	4.5776
-0.0791	-0.2428	1.0203	18.9819	-5.3101	4.6997
-0.0350	-0.2444	1.0111	19.7144	-3.5400	4.3335
0.0010	-0.2561	0.9943	22.5220	-2.6245	1.8311
0.0122	-0.2653	0.9720	27.3438	-4.5166	0.0610
0.0000	-0.2758	0.9476	32.0435	-6.6528	-1.0376
-0.0245	-0.2898	0.9043	36.7432	-6.5918	-2.8687
-0.0579	-0.3048	0.8539	39.0625	-2.6855	-5.2490
-0.0736	-0.3322	0.8090	41.7480	0.6104	-4.2114
-0.0555	-0.3473	0.7758	39.6729	3.6011	-5.2490
-0.0519	-0.3593	0.7601	34.9731	5.4932	-5.1270
-0.0494	-0.3728	0.7574	27.4658	6.5308	-6.1646
-0.0493	-0.3457	0.7843	17.9443	7.5684	-7.7515
-0.0591	-0.3306	0.8206	14.3433	2.4414	-6.1035
-0.0773	-0.3085	0.8569	12.9395	-0.7935	-5.6763
-0.0881	-0.2981	0.8806	14.7095	-3.3569	-4.6997
-0.1028	-0.2981	0.8940	18.4326	-5.4932	-4.0283
-0.1044	-0.3164	0.8979	23.0103	-6.1646	-3.5400
-0.1245	-0.3330	0.9022	26.1230	-5.6152	-3.5400
-0.1423	-0.3510	0.8893	25.6348	-2.5024	-5.1270
-0.1625	-0.3379	0.8840	23.2544	2.0752	-4.6997
-0.1686	-0.3168	0.8815	21.3623	3.1128	-5.1880
-0.1808	-0.2936	0.8643	18.7378	7.4463	-4.8218
-0.1683	-0.2900	0.8364	18.4326	8.0566	-4.6387
-0.1444	-0.2776	0.8055	15.6860	10.1318	-5.0049
-0.1068	-0.2686	0.7611	17.5171	4.5166	-0.9155
-0.0819	-0.2844	0.7029	18.1274	-1.7090	0.3052
-0.0735	-0.3081	0.6263	18.7378	-6.4087	1.4038
-0.0779	-0.3280	0.5303	21.1792	-14.2822	1.6479
-0.0830	-0.3456	0.4105	20.2026	-17.3950	0.9766
-0.0779	-0.3645	0.2721	16.4795	-16.1133	-0.4272
-0.0518	-0.3652	0.1277	9.8877	-9.5215	-0.2441
0.0037	-0.3439	-0.0446	5.1270	-6.5308	0.8545
0.0520	-0.3198	-0.2601	0.5493	-5.6763	0.1831
0.0554	-0.2719	-0.4879	-8.7280	-3.7231	-4.8218
-0.0240	-0.1754	-0.7117	-25.3906	2.5635	-11.2305
-0.1630	-0.1323	-0.9194	-45.6543	15.1978	-13.9771
-0.2717	-0.1387	-1.0552	-71.7773	31.8604	-12.8174
-0.2858	-0.0223	-1.0573	-107.3608	52.6733	-6.8970
-0.2412	0.1786	-0.9558	-140.5640	71.5942	4.3335
-0.2087	0.3489	-0.8247	-160.8276	77.5757	21.6064
-0.1692	0.4423	-0.7112	-174.9878	79.6509	40.6494
