aX	aY	aZ	gX	gY	gZ	
-0.8699	-0.0251	0.1454	-76.1719	-11.3525	10.4980
-0.8629	-0.0217	0.1520	-77.3315	-14.5874	9.2773
-0.8594	-0.0061	0.1639	-78.6743	-17.9443	9.2163
-0.8578	0.0143	0.1682	-79.3457	-21.3623	9.6436
-0.8575	0.0334	0.1820	-79.2236	-25.8179	10.7422
-0.8490	0.0754	0.2096	-78.7964	-31.0669	12.5732
-0.8762	0.1545	0.2662	-75.6836	-36.8652	15.9302
-0.8894	0.2146	0.3556	-68.9697	-44.2505	21.9116
-0.9291	0.3043	0.5757	-56.5796	-57.3120	31.9824
-1.0344	0.4279	0.8733	-28.0762	-80.5664	46.5088
-1.0955	0.5089	1.0906	23.1323	-100.9521	61.1572
-1.2328	0.6273	1.3513	101.2573	-101.1963	74.0967
-1.3932	0.7780	1.5326	207.1533	-83.0078	88.0737
-1.3843	1.0309	1.5999	334.2285	-39.3066	106.5674
-1.2219	1.3972	1.4104	477.2339	38.9404	114.1968
-0.9934	1.6259	0.9977	630.3711	138.4888	92.9565
-0.7577	1.5704	0.5070	776.3672	223.4497	42.8467
-0.7737	1.4672	-0.0536	898.9868	276.0010	-28.3203
-1.0781	1.4987	-0.7816	984.8633	323.1201	-97.3511
-1.3849	1.5929	-1.2214	1022.0947	380.2490	-131.3477
-1.0457	1.3164	-1.6494	1013.9160	415.5273	-116.5771
-0.4071	0.7778	-1.6401	926.6968	400.6958	-52.7954
-0.0597	0.0967	-1.1617	774.1699	313.2935	13.8550
-0.0405	-0.4563	-0.8069	595.3369	155.3345	43.4570
-0.5051	-0.7521	-0.9517	416.4429	-40.1611	40.5273
-1.6038	-0.9236	-1.2899	244.2017	-186.5234	-7.6904
-2.4137	-0.5013	-1.4316	89.9658	-235.8398	-93.1396
-2.2819	0.1630	-1.2924	-14.1602	-225.4639	-164.6729
-1.7675	0.3861	-1.1925	-67.3218	-176.5747	-194.4580
