aX	aY	aZ	gX	gY	gZ	
-0.0829	0.8787	0.3618	-299.1333	68.8477	6.7139
-0.0215	0.9021	0.3943	-290.7715	53.4058	3.9673
0.0166	0.9277	0.4103	-281.1890	32.2876	0.7935
0.0388	0.9517	0.4348	-269.3481	9.8877	-2.9297
0.0127	0.9883	0.4020	-256.0425	-10.9863	-8.6060
-0.0487	1.0272	0.3983	-243.5303	-27.9541	-13.4277
-0.1150	1.0475	0.3887	-229.8584	-40.7104	-15.0757
-0.1613	1.0504	0.3942	-215.3931	-48.3398	-14.7095
-0.1943	1.0552	0.4031	-200.5005	-51.4526	-13.6719
-0.2092	1.0582	0.3995	-183.9600	-48.6450	-12.8174
-0.2152	1.0576	0.3887	-165.7715	-40.0391	-11.4746
-0.2133	1.0564	0.3829	-146.7285	-28.1982	-9.0332
-0.2166	1.0590	0.3693	-127.1973	-15.9912	-5.8594
-0.2029	1.0575	0.3450	-107.9712	-4.3335	-2.4414
-0.1666	1.0465	0.3177	-90.4541	5.9204	0.9155
-0.1329	1.0300	0.2987	-75.1953	14.5874	4.3945
-0.1008	1.0184	0.2875	-62.6831	20.6909	7.5073
-0.0758	1.0076	0.2841	-51.6357	22.5830	10.1929
-0.0597	0.9946	0.2751	-41.3818	21.1792	12.0850
-0.0483	0.9873	0.2620	-32.8369	17.7002	13.4888
-0.0491	0.9849	0.2461	-25.8179	13.6719	14.5264
-0.0424	0.9788	0.2306	-20.6299	10.5591	14.7705
-0.0315	0.9644	0.2153	-17.1509	7.9956	14.7705
-0.0287	0.9503	0.1917	-15.3809	4.6997	14.9536
-0.0380	0.9429	0.1691	-14.8315	1.7700	15.3198
-0.0570	0.9343	0.1525	-15.0146	-0.7935	15.6860
-0.0737	0.9205	0.1302	-15.3809	-2.9297	15.0146
-0.0824	0.9047	0.1166	-16.5405	-4.6997	14.2212
-0.0905	0.8975	0.1046	-18.1885	-6.2866	13.0615
-0.0980	0.8929	0.0891	-19.9585	-7.2632	11.6577
-0.1079	0.8898	0.0829	-22.3389	-7.4463	10.3760
-0.1091	0.8846	0.0807	-24.8413	-7.1411	9.5215
-0.1112	0.8835	0.0677	-27.5879	-6.6528	8.1177
-0.1093	0.8810	0.0469	-30.7007	-5.9204	6.8359
-0.1014	0.8779	0.0447	-35.0342	-5.0659	5.5542
-0.1019	0.8811	0.0499	-39.9170	-5.1270	3.8452
-0.1060	0.8883	0.0442	-44.2505	-5.7983	2.3804
-0.1101	0.8964	0.0480	-48.1567	-6.2866	1.7700
-0.0983	0.9060	0.0436	-51.1475	-6.3477	1.5869
-0.0868	0.9120	0.0538	-54.3823	-6.5918	0.4272
-0.0917	0.9205	0.0596	-56.3354	-6.3477	-0.7324
-0.0850	0.9226	0.0616	-56.7627	-5.4932	-1.2817
-0.0547	0.9276	0.0630	-57.3120	-4.8828	-1.4648
0.0009	0.9498	0.0543	-58.4106	-4.7607	-1.5869
0.0366	1.0116	0.0383	-59.5703	-5.7983	-2.1973
-0.0383	1.0830	0.1652	-58.1055	-11.7187	-3.3569
-0.3188	1.2437	0.5138	-44.7388	-16.0522	-3.4790
-0.5713	1.4103	0.7760	-1.9531	-15.0146	3.2349
-0.6758	1.5210	1.0416	67.7490	-12.0239	15.1367
-0.6571	1.5730	1.0553	159.1187	-11.4746	36.3159
-0.4927	1.5724	1.1702	257.0801	-5.4321	59.0210
-0.4413	1.5883	0.9558	365.5396	10.9253	72.8149
-0.4954	1.6757	0.8542	471.5576	41.0156	78.2471
-0.4644	1.7678	0.8499	577.4536	96.2524	69.3359
-0.1748	1.8978	0.6932	681.2134	155.6396	46.9360
0.2262	1.9357	0.2615	764.7095	189.5752	17.9443
0.2843	1.8101	0.0183	802.7344	184.5093	-10.4980
0.1681	1.5558	-0.1372	793.5181	158.2031	-22.8271
0.2850	1.1354	-0.2410	738.4033	129.5166	-12.5732
0.5786	0.4438	-0.4124	625.4272	95.4590	-0.5493
0.4781	-0.2949	-0.4021	442.3218	56.8848	5.2490
0.1425	-0.6997	-0.1630	221.0083	19.4092	3.2959
0.0244	-0.4019	0.1348	19.5313	-21.3013	-20.5688
-0.0490	0.3053	0.2932	-115.0513	-64.6362	-50.2319
-0.1251	0.6329	0.2626	-178.4058	-106.1401	-63.9038
-0.2770	0.5436	0.2220	-197.4487	-132.8125	-67.3828
-0.4240	0.4469	0.2198	-205.5664	-142.8223	-65.7959
-0.4871	0.4634	0.1562	-211.9141	-128.4180	-63.2935
-0.5220	0.5189	0.0680	-222.4121	-93.8721	-57.9224
-0.4950	0.5706	0.0516	-242.3706	-48.7671	-49.5605
-0.3452	0.6245	0.0331	-264.5264	-2.6245	-42.3584
-0.1718	0.6183	0.0303	-283.4473	31.4331	-40.1001
-0.0500	0.6423	0.1420	-303.1616	41.5039	-46.0815
-0.0321	0.7443	0.3481	-318.6035	29.7852	-55.6030
-0.1044	0.8793	0.5239	-319.6411	9.0332	-61.7065
