aX	aY	aZ	gX	gY	gZ	
0.1110	-0.7551	-0.7327	136.4136	49.5605	39.0015
0.1440	-0.6913	-0.7606	144.5923	49.5605	33.8745
0.1943	-0.6683	-0.8081	156.7993	43.7012	30.5786
0.1632	-0.7128	-0.9539	166.4429	32.4707	27.4658
0.1075	-0.7783	-1.1273	163.5132	25.5737	23.1934
0.0605	-0.8162	-1.2245	144.7754	25.1465	17.6392
0.0397	-0.8376	-1.2517	113.4644	31.4331	12.1460
0.0145	-0.8270	-1.2467	77.5146	40.2222	8.2397
-0.0270	-0.7566	-1.2358	46.1426	51.6968	3.6011
-0.0282	-0.6422	-1.2510	25.5737	65.8569	-2.1362
0.0358	-0.5602	-1.3481	15.8081	74.7681	-7.1411
0.0903	-0.6091	-1.4926	7.6294	73.4253	-11.8408
0.0918	-0.7227	-1.6527	-10.8643	68.7256	-17.7612
0.0851	-0.8394	-1.7538	-48.7671	64.0259	-23.9258
0.0527	-0.9619	-1.8416	-106.1401	55.7861	-31.0669
-0.0044	-1.0803	-2.0398	-182.4341	46.5698	-39.2456
-0.0918	-1.0790	-2.0891	-280.2124	41.4429	-48.6450
-0.1372	-0.8757	-1.9259	-377.8687	39.1846	-58.6548
-0.1306	-0.6411	-1.7760	-453.0029	27.5879	-66.1621
0.0050	-0.5737	-1.6608	-503.6621	4.7607	-68.5425
0.2295	-0.6287	-1.5641	-534.7900	-28.8696	-70.0684
0.3965	-0.6892	-1.4276	-558.8379	-74.1577	-80.9326
0.3944	-0.6820	-1.3229	-580.2612	-121.0327	-104.2480
0.3202	-0.5706	-1.1023	-603.0884	-159.4849	-139.5874
0.2814	-0.3125	-0.8221	-627.1362	-198.3643	-176.2085
0.2076	-0.0667	-0.7109	-645.0806	-242.4316	-206.0547
-0.1191	0.1628	-0.3080	-650.1465	-282.2266	-238.5254
-0.5992	0.2848	0.1453	-622.9858	-302.1240	-265.0757
-1.2548	0.3577	0.6793	-565.4907	-281.3721	-267.0898
-1.5200	0.4375	1.1431	-491.6992	-214.7217	-240.2344
-1.4170	0.4126	1.4028	-401.9165	-129.3335	-195.0684
-1.2538	0.4640	1.4823	-315.3687	-53.1006	-144.4702
-1.0604	0.6053	1.5336	-244.2627	-3.3569	-99.1821
-0.8374	0.6741	1.5746	-186.8286	21.5454	-57.3730
-0.7238	0.6838	1.6031	-133.9111	25.2075	-17.2729
-0.7169	0.6099	1.5746	-83.4961	14.5874	14.8315
-0.7284	0.4868	1.4869	-34.6069	4.4556	35.7666
-0.6584	0.3577	1.3362	8.5449	2.3193	49.0723
-0.5802	0.1992	1.1716	42.4805	5.6763	57.2510
-0.5602	0.0558	1.0471	65.4297	8.9722	59.1431
-0.5753	-0.0620	0.9971	80.0171	11.7187	57.0679
-0.5214	-0.1638	0.9580	94.1772	15.5029	55.2368
-0.4858	-0.2712	0.8920	110.2905	20.1416	55.2368
-0.4856	-0.3850	0.8214	125.7324	21.7896	57.0068
-0.5168	-0.5070	0.7589	140.1367	19.0430	61.0352
-0.5651	-0.5742	0.7014	153.5034	14.0991	71.0449
-0.6021	-0.6592	0.6281	169.3115	17.0288	81.7871
-0.5793	-0.6886	0.5516	185.4858	32.5317	89.7217
-0.5004	-0.7268	0.4961	194.2139	41.1377	103.8208
-0.4460	-0.7625	0.4415	200.0122	44.3726	116.9434
-0.4225	-0.7881	0.4099	203.4912	45.8984	125.7324
-0.3458	-0.7877	0.3690	206.9702	51.8799	129.0283
-0.3330	-0.7968	0.3367	212.0361	58.1055	128.5400
-0.3754	-0.8074	0.3180	218.0786	61.8286	128.1738
-0.3318	-0.8060	0.2717	226.3794	68.7866	128.2959
-0.2603	-0.8318	0.2125	238.8916	80.2612	127.1362
-0.1774	-0.8739	0.1401	252.8076	91.3086	124.9390
-0.1088	-0.9150	0.0818	268.0664	98.6328	120.3613
-0.0508	-0.9318	0.0500	283.0811	102.2949	113.5864
-0.0109	-0.9275	0.0010	296.9360	101.8677	106.6284
0.0160	-0.9137	-0.0820	308.6548	98.0835	99.3652
0.0006	-0.9094	-0.1781	314.6973	90.5151	93.7500
-0.0292	-0.9023	-0.3098	314.0259	83.1909	90.0269
-0.0586	-0.9131	-0.4474	308.5937	80.4443	87.5244
-0.0605	-0.9033	-0.5262	299.1943	81.3599	85.8154
-0.0205	-0.8770	-0.5684	289.1846	88.9282	84.2896
0.0790	-0.8787	-0.5908	280.8838	95.7642	84.4116
0.1597	-0.9065	-0.6007	272.7051	94.0552	83.0688
0.1799	-0.9319	-0.6198	262.3291	82.2754	80.0781
0.1633	-0.9340	-0.6619	249.8169	61.2793	74.1577
0.1260	-0.9049	-0.6926	235.4736	35.4614	67.3828
0.0880	-0.9038	-0.7976	218.4448	15.3809	60.9131
0.0598	-0.9165	-0.8562	195.6177	6.9580	54.9927
0.0377	-0.9215	-0.8881	169.5557	9.7656	48.6450
0.0214	-0.9292	-0.9254	140.9912	18.3716	42.4805
-0.0018	-0.9037	-0.9214	112.6099	25.6958	37.2314
-0.0304	-0.8459	-0.9032	88.5010	31.9214	32.7759
-0.0594	-0.7836	-0.8812	72.6318	38.6963	28.9917
-0.0861	-0.7445	-0.8644	65.6738	48.5229	26.1841
-0.0909	-0.7146	-0.8447	66.2842	63.2324	24.2310
-0.0802	-0.7167	-0.8705	71.2280	80.4443	22.7051
-0.0504	-0.7612	-0.9711	73.8525	94.4824	20.8130
0.0089	-0.8191	-1.0599	65.7959	104.7974	19.6533
0.0752	-0.8647	-1.1077	43.9453	110.7178	18.7378
0.1117	-0.8889	-1.0923	13.9160	109.4360	15.9912
0.0857	-0.8983	-1.1603	-18.2495	99.9756	12.3291
0.0760	-0.9006	-1.2202	-54.4434	85.7544	7.1411
0.0796	-0.8679	-1.1858	-93.5059	67.6880	-1.9531
0.0952	-0.8086	-1.1758	-124.1455	49.0723	-13.6719
0.1204	-0.8391	-1.3463	-147.6440	27.6489	-26.5503
0.0823	-1.0044	-1.5363	-186.2183	1.5869	-35.8887
0.0295	-1.1105	-1.5667	-249.5117	-20.7520	-43.0908
-0.0511	-1.0624	-1.5297	-323.8525	-40.6494	-52.0020
-0.0918	-0.9662	-1.5507	-395.5688	-62.1338	-59.9976
-0.0601	-0.8241	-1.5322	-463.4399	-86.8530	-62.0728
0.0757	-0.7097	-1.4854	-515.8081	-117.9810	-63.6597
0.1844	-0.6632	-1.2716	-554.9316	-159.1797	-70.6787
0.0599	-0.5631	-0.9532	-574.0356	-201.4771	-86.5479
-0.2328	-0.5741	-0.6700	-566.9556	-235.1685	-107.1777
-0.5068	-0.6375	-0.4734	-557.0068	-240.8447	-115.6616
-0.4714	-0.6100	-0.2205	-549.6826	-217.9565	-115.4785
-0.2552	-0.3981	0.2948	-518.1885	-193.2983	-116.2720
-0.2725	-0.1818	0.5963	-454.8950	-178.9551	-119.5679
-0.5718	0.1439	0.8262	-395.6299	-182.8003	-111.5723
-0.7650	0.3846	1.1404	-351.5015	-184.3262	-96.0693
-0.8369	0.3907	1.5121	-299.0723	-166.0767	-81.3599
-0.9723	0.3270	1.7506	-231.7505	-134.6436	-60.3027
-1.1466	0.2463	1.7716	-162.4146	-99.5483	-36.9263
-1.1118	0.2069	1.6360	-98.2666	-58.4106	-18.3716
